project_id,project_type,region,planned_budget_usd,actual_cost_usd,cost_overrun_pct,planned_duration_days,actual_duration_days,schedule_slippage_pct,team_size,contractor_experience_years,complexity_rating,num_subcontractors,num_permits_required,safety_incidents,num_change_orders,rework_cost_pct,material_cost_variance_pct,labour_overtime_hours,weather_delay_days,client_change_requests,inspection_failures,risk_level,budget_per_team_member,team_density,subcontractor_ratio,permit_complexity,experience_complexity_ratio,budget_duration_ratio,team_complexity_interaction
PRJ-00740,Commercial,East,396378.36,493068.33,24.39,51,60,18.08,8,5.6,4,6,4.0,2,0,6.11,19.09,47.5,4,4,1,Medium,49547.295,0.1568627450980392,0.75,1.0,1.4,7772.124705882353,32
PRJ-00789,Infrastructure,North,285385.96,308342.28,8.04,49,56,14.03,8,18.5,5,4,2.0,3,2,5.96,11.08,14.5,5,5,3,Low,35673.245,0.1632653061224489,0.5,0.4,3.7,5824.203265306123,40
PRJ-00044,Commercial,South,426882.61,456535.62,6.95,80,102,27.69,10,19.0,7,6,0.0,2,5,2.37,0.38,23.9,2,3,0,Medium,42688.261,0.125,0.6,0.0,2.7142857142857144,5336.032625,70
PRJ-00156,Industrial,North,726993.56,753908.06,3.7,98,101,2.57,12,9.8,2,4,2.0,0,3,2.42,-0.19,17.2,6,4,2,Low,60582.79666666667,0.1224489795918367,0.3333333333333333,1.0,4.9,7418.301632653061,24
PRJ-00495,Infrastructure,South,410008.06,450260.41,9.82,81,85,4.41,8,12.7,3,8,3.0,1,3,6.73,7.17,38.1,5,3,0,Low,51251.0075,0.0987654320987654,1.0,1.0,4.233333333333333,5061.827901234567,24
PRJ-00971,Residential,Central,379801.62,422871.4,11.34,49,58,17.8,10,7.5,6,9,6.0,1,3,0.0,2.97,32.0,3,4,0,Low,37980.162,0.2040816326530612,0.9,1.0,1.25,7751.053469387755,60
PRJ-00271,Residential,West,50000.0,61191.09,22.38,78,87,12.12,5,17.2,3,2,0.0,2,1,2.22,4.01,15.0,4,1,1,Medium,10000.0,0.0641025641025641,0.4,0.0,5.733333333333333,641.025641025641,15
PRJ-00591,Renovation,East,237377.56,300970.82,26.79,73,98,33.74,6,3.7,5,6,2.0,1,7,8.98,16.39,96.1,5,3,1,Medium,39562.926666666666,0.0821917808219178,1.0,0.4,0.74,3251.747397260274,30
PRJ-00124,Commercial,East,849471.1,921119.28,8.43,98,117,19.0,14,14.8,6,5,3.0,2,5,5.27,9.91,51.1,3,1,4,Medium,60676.50714285714,0.1428571428571428,0.3571428571428571,0.5,2.466666666666667,8668.072448979592,84
PRJ-00114,Industrial,West,969698.94,1087048.08,12.1,97,126,29.64,15,7.0,2,4,6.0,2,1,4.1,12.12,36.0,7,1,0,Medium,64646.596,0.1546391752577319,0.2666666666666666,3.0,3.5,9996.896288659793,30
PRJ-00931,Commercial,West,356541.56,410953.94,15.26,72,83,15.23,7,11.8,7,6,3.0,1,5,2.79,-2.09,57.9,2,8,0,Low,50934.508571428574,0.0972222222222222,0.8571428571428571,0.4285714285714285,1.6857142857142855,4951.966111111111,49
PRJ-00129,Residential,North,562452.83,623121.81,10.79,57,68,19.84,9,14.5,7,8,2.0,2,4,1.74,1.66,19.3,3,2,2,Low,62494.758888888886,0.1578947368421052,0.8888888888888888,0.2857142857142857,2.071428571428572,9867.59350877193,63
PRJ-00733,Residential,West,441518.31,590404.19,33.72,61,84,38.48,9,16.9,6,7,4.0,3,6,7.68,15.47,57.0,3,3,3,High,49057.59,0.1475409836065573,0.7777777777777778,0.6666666666666666,2.8166666666666664,7238.005081967213,54
PRJ-00479,Industrial,Central,172896.83,193710.63,12.04,70,87,23.66,7,17.9,4,9,2.0,1,2,6.87,18.68,35.2,1,3,0,Medium,24699.54714285714,0.1,1.2857142857142858,0.5,4.475,2469.954714285714,28
PRJ-00148,Commercial,East,772351.1,920270.87,19.15,88,114,29.66,13,11.4,5,8,2.0,4,1,12.43,12.87,37.2,7,2,0,Medium,59411.62307692308,0.1477272727272727,0.6153846153846154,0.4,2.28,8776.717045454545,65
PRJ-01006,Commercial,South,273712.19,318159.89,16.24,67,86,28.75,8,10.3,7,8,3.0,3,1,2.49,6.91,60.6,4,3,0,Medium,34214.02375,0.1194029850746268,1.0,0.4285714285714285,1.4714285714285715,4085.256567164179,56
PRJ-01101,Residential,North,495612.02,596853.4,20.43,57,75,30.75,9,5.9,6,7,5.0,0,3,2.14,6.7,47.0,6,0,1,Medium,55068.00222222223,0.1578947368421052,0.7777777777777778,0.8333333333333334,0.9833333333333334,8694.947719298247,54
PRJ-00175,Residential,West,307665.09,340339.13,10.62,85,98,14.76,9,18.8,3,2,2.0,2,1,0.43,4.51,47.3,4,1,1,Low,34185.01,0.1058823529411764,0.2222222222222222,0.6666666666666666,6.266666666666667,3619.589294117648,27
PRJ-00359,Commercial,South,350358.31,398093.69,13.62,71,84,18.47,10,18.3,7,12,,1,0,0.37,7.15,34.7,6,0,1,Low,35035.831,0.1408450704225352,1.2,,2.6142857142857143,4934.624084507042,70
PRJ-00221,Commercial,Central,537963.42,633799.69,17.81,75,88,17.77,10,13.8,2,5,1.0,2,1,5.97,8.35,31.2,4,3,4,Medium,53796.342,0.1333333333333333,0.5,0.5,6.9,7172.845600000001,20
PRJ-01104,Infrastructure,South,117974.59,135616.27,14.95,74,92,23.99,6,17.3,7,6,4.0,0,3,5.83,8.18,43.0,4,5,3,Medium,19662.431666666667,0.081081081081081,1.0,0.5714285714285714,2.4714285714285715,1594.251216216216,42
PRJ-00590,Residential,East,377479.16,476982.37,26.36,73,92,26.07,9,12.0,4,5,6.0,4,4,3.49,13.77,77.6,3,0,2,Medium,41942.12888888889,0.1232876712328767,0.5555555555555556,1.5,3.0,5170.947397260274,36
